Participant Private ID,Zone Name,Response,Video,metadata,metadata2,Video Code,Full Label,ResponsesQuantised
6007706,WillingnesstoTryagainLikert,Unlikely,1001.mp4,NALA,3000,NAHA2,NAHA2_WillingnesstoTryagainLikert,2
6007706,WillingnesstoTryagainLikert,Neutral,3004.mp4,NALA,3002,NALA3,NALA3_WillingnesstoTryagainLikert,4
6007706,WillingnesstoTryagainLikert,Somewhat likely,3008.mp4,NALA,3004,NALA5,NALA5_WillingnesstoTryagainLikert,5
6007706,WillingnesstoTryagainLikert,Neutral,3002.mp4,NALA,3007,NALA2,NALA2_WillingnesstoTryagainLikert,4
6007706,WillingnesstoTryagainLikert,Neutral,1008.mp4,NALA,3008,NAHA6,NAHA6_WillingnesstoTryagainLikert,4
6007706,WillingnesstoTryagainLikert,Unlikely,1006.mp4,NALA,3009,NAHA5,NAHA5_WillingnesstoTryagainLikert,2
6009420,WillingnesstoTryagainLikert,Very Unlikely,1001.mp4,NAHA,1000,NAHA2,NAHA2_WillingnesstoTryagainLikert,1
6009420,WillingnesstoTryagainLikert,Very Unlikely,1004.mp4,NAHA,1001,NAHA3,NAHA3_WillingnesstoTryagainLikert,1
6009420,WillingnesstoTryagainLikert,Very Unlikely,1005.mp4,NAHA,1004,NAHA4,NAHA4_WillingnesstoTryagainLikert,1
6009420,WillingnesstoTryagainLikert,Very Unlikely,1000.mp4,NAHA,1005,NAHA1,NAHA1_WillingnesstoTryagainLikert,1
6009420,WillingnesstoTryagainLikert,Very Unlikely,1006.mp4,NAHA,1006,NAHA5,NAHA5_WillingnesstoTryagainLikert,1
6009420,WillingnesstoTryagainLikert,Somewhat unlikely,3002.mp4,NAHA,1008,NALA2,NALA2_WillingnesstoTryagainLikert,3
6009420,WillingnesstoTryagainLikert,Very Unlikely,1008.mp4,NALA,3000,NAHA6,NAHA6_WillingnesstoTryagainLikert,1
6009420,WillingnesstoTryagainLikert,Very Likely,3008.mp4,NALA,3002,NALA5,NALA5_WillingnesstoTryagainLikert,7
6009420,WillingnesstoTryagainLikert,Somewhat likely,3000.mp4,NALA,3004,NALA1,NALA1_WillingnesstoTryagainLikert,5
6009420,WillingnesstoTryagainLikert,Very Likely,3007.mp4,NALA,3007,NALA4,NALA4_WillingnesstoTryagainLikert,7
6009420,WillingnesstoTryagainLikert,Very Likely,3004.mp4,NALA,3008,NALA3,NALA3_WillingnesstoTryagainLikert,7
6009420,WillingnesstoTryagainLikert,Very Likely,3009.mp4,NALA,3009,NALA6,NALA6_WillingnesstoTryagainLikert,7
