Participant Private ID,Zone Name,Response,Video,metadata,metadata2,Video Code,Full Label,Responses Quantised
6005633,Effortlikert,Agree,3009.mp4,NALA,3008,NALA6,NALA6_Effortlikert,6
6005633,Successlikert,Disagree,3009.mp4,NALA,3008,NALA6,NALA6_Successlikert,2
6005633,Effortlikert,Agree,3002.mp4,NALA,3009,NALA2,NALA2_Effortlikert,6
6005633,Successlikert,Disagree,3002.mp4,NALA,3009,NALA2,NALA2_Successlikert,2
6005633,WillingnesstoTryagainLikert,Very Likely,3004.mp4,NAHA,1000,NALA3,NALA3_WillingnesstoTryagainLikert,7
6005633,WillingnesstoTryagainLikert,Neutral,1004.mp4,NAHA,1001,NAHA3,NAHA3_WillingnesstoTryagainLikert,4
6005633,WillingnesstoTryagainLikert,Neutral,1008.mp4,NAHA,1004,NAHA6,NAHA6_WillingnesstoTryagainLikert,4
6005633,WillingnesstoTryagainLikert,Not at all likely,1006.mp4,NAHA,1005,NAHA5,NAHA5_WillingnesstoTryagainLikert,0
6005633,WillingnesstoTryagainLikert,Neutral,3000.mp4,NAHA,1006,NALA1,NALA1_WillingnesstoTryagainLikert,4
6005633,WillingnesstoTryagainLikert,Somewhat likely,3007.mp4,NAHA,1008,NALA4,NALA4_WillingnesstoTryagainLikert,5
6005633,WillingnesstoTryagainLikert,Not at all likely,1000.mp4,NALA,3000,NAHA1,NAHA1_WillingnesstoTryagainLikert,0
6005633,WillingnesstoTryagainLikert,Not at all likely,1001.mp4,NALA,3002,NAHA2,NAHA2_WillingnesstoTryagainLikert,0
6005633,WillingnesstoTryagainLikert,Unlikely,1005.mp4,NALA,3004,NAHA4,NAHA4_WillingnesstoTryagainLikert,2
6005633,WillingnesstoTryagainLikert,Neutral,3008.mp4,NALA,3007,NALA5,NALA5_WillingnesstoTryagainLikert,4
6005633,WillingnesstoTryagainLikert,Neutral,3009.mp4,NALA,3008,NALA6,NALA6_WillingnesstoTryagainLikert,4
6005633,WillingnesstoTryagainLikert,Neutral,3002.mp4,NALA,3009,NALA2,NALA2_WillingnesstoTryagainLikert,4
6005725,Effortlikert,Somewhat Agree,3009.mp4,NAHA,1000,NALA6,NALA6_Effortlikert,5
6005725,Successlikert,Agree,3009.mp4,NAHA,1000,NALA6,NALA6_Successlikert,6
6005725,Effortlikert,Agree,3008.mp4,NAHA,1001,NALA5,NALA5_Effortlikert,6
6005725,Successlikert,Agree,3008.mp4,NAHA,1001,NALA5,NALA5_Successlikert,6
6005725,Effortlikert,Somewhat Disagree,1005.mp4,NAHA,1004,NAHA4,NAHA4_Effortlikert,3
6005725,Successlikert,Disagree,1005.mp4,NAHA,1004,NAHA4,NAHA4_Successlikert,2
6005725,Effortlikert,Strongly Agree,3004.mp4,NAHA,1005,NALA3,NALA3_Effortlikert,7
6005725,Successlikert,Agree,3004.mp4,NAHA,1005,NALA3,NALA3_Successlikert,6
6005725,Effortlikert,Agree,1001.mp4,NAHA,1006,NAHA2,NAHA2_Effortlikert,6
6005725,Successlikert,Agree,1001.mp4,NAHA,1006,NAHA2,NAHA2_Successlikert,6
6005725,Effortlikert,Somewhat Disagree,1000.mp4,NAHA,1008,NAHA1,NAHA1_Effortlikert,3
6005725,Successlikert,Somewhat Agree,1000.mp4,NAHA,1008,NAHA1,NAHA1_Successlikert,5
6005725,Effortlikert,Agree,1004.mp4,NALA,3000,NAHA3,NAHA3_Effortlikert,6
6005725,Successlikert,Agree,1004.mp4,NALA,3000,NAHA3,NAHA3_Successlikert,6
6005725,Effortlikert,Agree,3000.mp4,NALA,3002,NALA1,NALA1_Effortlikert,6
6005725,Successlikert,Neutral,3000.mp4,NALA,3002,NALA1,NALA1_Successlikert,4
6005725,Effortlikert,Disagree,1006.mp4,NALA,3004,NAHA5,NAHA5_Effortlikert,2
6005725,Successlikert,Somewhat Agree,1006.mp4,NALA,3004,NAHA5,NAHA5_Successlikert,5
6005725,Effortlikert,Agree,3007.mp4,NALA,3007,NALA4,NALA4_Effortlikert,6
6005725,Successlikert,Somewhat Disagree,3007.mp4,NALA,3007,NALA4,NALA4_Successlikert,3
6005725,Effortlikert,Somewhat Agree,1008.mp4,NALA,3008,NAHA6,NAHA6_Effortlikert,5
6005725,Successlikert,Disagree,1008.mp4,NALA,3008,NAHA6,NAHA6_Successlikert,2
6005725,Effortlikert,Neutral,3002.mp4,NALA,3009,NALA2,NALA2_Effortlikert,4
6005725,Successlikert,Disagree,3002.mp4,NALA,3009,NALA2,NALA2_Successlikert,2
6005725,WillingnesstoTryagainLikert,Somewhat likely,3009.mp4,NAHA,1000,NALA6,NALA6_WillingnesstoTryagainLikert,5
6005725,WillingnesstoTryagainLikert,Somewhat likely,3008.mp4,NAHA,1001,NALA5,NALA5_WillingnesstoTryagainLikert,5
6005725,WillingnesstoTryagainLikert,Somewhat unlikely,1005.mp4,NAHA,1004,NAHA4,NAHA4_WillingnesstoTryagainLikert,3
6005725,WillingnesstoTryagainLikert,Neutral,3004.mp4,NAHA,1005,NALA3,NALA3_WillingnesstoTryagainLikert,4
6005725,WillingnesstoTryagainLikert,Very Unlikely,1001.mp4,NAHA,1006,NAHA2,NAHA2_WillingnesstoTryagainLikert,1
6005725,WillingnesstoTryagainLikert,Very Unlikely,1000.mp4,NAHA,1008,NAHA1,NAHA1_WillingnesstoTryagainLikert,1
6005725,WillingnesstoTryagainLikert,Neutral,1004.mp4,NALA,3000,NAHA3,NAHA3_WillingnesstoTryagainLikert,4
